,Report_Date,Swaziland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
89,2020-04-20,24,120.91469021383287,227.89467525296794,True,90,45.34742449889868,413.736252343351
90,2020-04-21,31,120.91469021383287,227.89467525296794,True,91,48.341424551955456,413.736252343351
91,2020-04-22,31,120.91469021383287,227.89467525296794,True,92,51.50829213233132,413.736252343351
92,2020-04-23,31,120.91469021383287,227.89467525296794,True,93,54.85469186066566,413.736252343351
93,2020-04-24,36,120.91469021383287,227.89467525296794,True,94,58.387102346750396,413.736252343351
94,2020-04-25,56,120.91469021383287,227.89467525296794,True,95,62.11174573489559,413.736252343351
95,2020-04-26,59,120.91469021383287,227.89467525296794,True,96,66.03451097368476,413.736252343351
96,2020-04-27,65,120.91469021383287,227.89467525296794,True,97,70.16087113362221,413.736252343351
97,2020-04-28,71,120.91469021383287,227.89467525296794,True,98,74.4957952878308,413.736252343351
98,2020-04-29,91,120.91469021383287,227.89467525296794,True,99,79.04365568490903,413.736252343351
99,2020-04-30,100,120.91469021383287,227.89467525296794,True,100,83.80813117607127,413.736252343351
100,2020-05-01,106,120.91469021383287,227.89467525296794,True,101,88.79210810586812,413.736252343351
101,2020-05-02,108,120.91469021383287,227.89467525296794,True,102,93.99758013039137,413.736252343351
102,2020-05-03,112,120.91469021383287,227.89467525296794,True,103,99.42554868029663,413.736252343351
103,2020-05-04,116,120.91469021383287,227.89467525296794,True,104,105.07592602776174,413.736252343351
104,2020-05-05,119,120.91469021383287,227.89467525296794,True,105,110.94744313452287,413.736252343351
105,2020-05-06,123,120.91469021383287,227.89467525296794,True,106,117.03756463895886,413.736252343351
106,2020-05-07,153,120.91469021383287,227.89467525296794,True,107,123.34241346963333,413.736252343351
107,2020-05-08,159,120.91469021383287,227.89467525296794,True,108,129.85670763650506,413.736252343351
108,2020-05-09,163,120.91469021383287,227.89467525296794,True,109,136.5737117357835,413.736252343351
109,2020-05-10,172,120.91469021383287,227.89467525296794,True,110,143.48520559860347,413.736252343351
110,2020-05-11,175,120.91469021383287,227.89467525296794,True,111,150.58147230875306,413.736252343351
111,2020-05-12,184,120.91469021383287,227.89467525296794,True,112,157.85130750609227,413.736252343351
112,2020-05-13,187,120.91469021383287,227.89467525296794,True,113,165.2820514805417,413.736252343351
113,2020-05-14,187,120.91469021383287,227.89467525296794,True,114,172.8596450528682,413.736252343351
114,2020-05-15,190,120.91469021383287,227.89467525296794,True,115,180.568709645381,413.736252343351
115,2020-05-16,202,120.91469021383287,227.89467525296794,True,116,188.3926512867077,413.736252343351
116,2020-05-17,203,120.91469021383287,227.89467525296794,True,117,196.3137875943046,413.736252343351
117,2020-05-18,205,120.91469021383287,227.89467525296794,True,118,204.31349606521331,413.736252343351
118,2020-05-19,208,120.91469021383287,227.89467525296794,True,119,212.37238131184378,413.736252343351
119,2020-05-20,217,120.91469021383287,227.89467525296794,True,120,220.47045823854265,413.736252343351
120,2020-05-21,220,120.91469021383287,227.89467525296794,True,121,228.58734759874585,413.736252343351
121,2020-05-22,225,120.91469021383287,227.89467525296794,True,122,236.70247993074327,413.736252343351
122,2020-05-23,238,120.91469021383287,227.89467525296794,True,123,244.79530356634976,413.736252343351
123,2020-05-24,250,120.91469021383287,227.89467525296794,True,124,252.8454922577725,413.736252343351
124,2020-05-25,256,120.91469021383287,227.89467525296794,True,125,260.8331479819625,413.736252343351
125,2020-05-26,261,120.91469021383287,227.89467525296794,True,126,268.7389946579866,413.736252343351
126,2020-05-27,272,120.91469021383287,227.89467525296794,True,127,276.5445588416308,413.736252343351
127,2020-05-28,279,120.91469021383287,227.89467525296794,True,128,284.23233392455643,413.736252343351
128,2020-05-29,279,120.91469021383287,227.89467525296794,True,129,291.78592493799107,413.736252343351
129,2020-05-30,283,120.91469021383287,227.89467525296794,True,130,299.19017171328693,413.736252343351
130,2020-05-31,285,120.91469021383287,227.89467525296794,True,131,306.4312488510701,413.736252343351
131,2020-06-01,293,120.91469021383287,227.89467525296794,True,132,313.4967416639029,413.736252343351
132,2020-06-02,294,120.91469021383287,227.89467525296794,True,133,320.37569795272856,413.736252343351
133,2020-06-03,295,120.91469021383287,227.89467525296794,True,134,327.05865612666247,413.736252343351
134,2020-06-04,300,120.91469021383287,227.89467525296794,True,135,333.5376507555376,413.736252343351
135,2020-06-05,305,120.91469021383287,227.89467525296794,True,136,339.80619713744153,413.736252343351
136,2020-06-06,322,120.91469021383287,227.89467525296794,True,137,345.859256857922,413.736252343351
137,2020-06-07,333,120.91469021383287,227.89467525296794,True,138,351.693186608326,413.736252343351
138,2020-06-08,340,120.91469021383287,227.89467525296794,True,139,357.3056727183236,413.736252343351
139,2020-06-09,371,120.91469021383287,227.89467525296794,True,140,362.695653947312,413.736252343351
140,2020-06-10,398,120.91469021383287,227.89467525296794,True,141,367.86323508026516,413.736252343351
141,2020-06-11,449,120.91469021383287,227.89467525296794,True,142,372.8095937976107,413.736252343351
142,2020-06-12,449,120.91469021383287,227.89467525296794,True,143,377.5368831494907,413.736252343351
