,Report_Date,Oman_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
134,2020-06-04,14316,158.7614103788305,37956.06188998854,True,135,14140.468157979574,59082.728728705595
135,2020-06-05,15086,158.7614103788305,37956.06188998854,True,136,14868.384960009109,59082.728728705595
136,2020-06-06,16016,158.7614103788305,37956.06188998854,True,137,15624.295269856031,59082.728728705595
137,2020-06-07,16882,158.7614103788305,37956.06188998854,True,138,16408.306164868307,59082.728728705595
138,2020-06-08,17486,158.7614103788305,37956.06188998854,True,139,17220.42071771591,59082.728728705595
139,2020-06-09,18198,158.7614103788305,37956.06188998854,True,140,18060.530253189052,59082.728728705595
140,2020-06-10,18887,158.7614103788305,37956.06188998854,True,141,18928.407093918722,59082.728728705595
141,2020-06-11,19954,158.7614103788305,37956.06188998854,True,142,19823.69795105524,59082.728728705595
142,2020-06-12,21071,158.7614103788305,37956.06188998854,True,143,20745.918120656836,59082.728728705595
143,2020-06-13,22077,158.7614103788305,37956.06188998854,True,144,21694.446647681056,59082.728728705595
144,2020-06-14,23481,158.7614103788305,37956.06188998854,True,145,22668.522616515795,59082.728728705595
145,2020-06-15,24524,158.7614103788305,37956.06188998854,True,146,23667.242719494352,59082.728728705595
146,2020-06-16,25269,158.7614103788305,37956.06188998854,True,147,24689.56024249969,59082.728728705595
147,2020-06-17,26079,158.7614103788305,37956.06188998854,True,148,25734.28558941819,59082.728728705595
148,2020-06-18,26818,158.7614103788305,37956.06188998854,True,149,26800.08844488718,59082.728728705595
149,2020-06-19,27670,158.7614103788305,37956.06188998854,True,150,27885.501647733538,59082.728728705595
150,2020-06-20,28566,158.7614103788305,37956.06188998854,True,151,28988.926816189884,59082.728728705595
151,2020-06-21,29471,158.7614103788305,37956.06188998854,True,152,30108.641731098924,59082.728728705595
152,2020-06-22,31076,158.7614103788305,37956.06188998854,True,153,31242.809445784562,59082.728728705595
153,2020-06-23,32394,158.7614103788305,37956.06188998854,True,154,32389.489052189998,59082.728728705595
154,2020-06-24,33536,158.7614103788305,37956.06188998854,True,155,33546.647993513754,59082.728728705595
155,2020-06-25,34902,158.7614103788305,37956.06188998854,True,156,34712.17577527865,59082.728728705595
156,2020-06-26,36034,158.7614103788305,37956.06188998854,True,157,35883.89889094335,59082.728728705595
157,2020-06-27,36953,158.7614103788305,37956.06188998854,True,158,37059.596746179166,59082.728728705595
158,2020-06-28,38150,158.7614103788305,37956.06188998854,True,159,38237.0183390552,59082.728728705595
159,2020-06-29,39060,158.7614103788305,37956.06188998854,True,160,39413.89943269149,59082.728728705595
160,2020-06-30,40070,158.7614103788305,37956.06188998854,True,161,40587.97994331452,59082.728728705595
161,2020-07-01,41194,158.7614103788305,37956.06188998854,True,162,41757.021260650865,59082.728728705595
162,2020-07-02,42555,158.7614103788305,37956.06188998854,True,163,42918.82321948223,59082.728728705595
163,2020-07-03,43929,158.7614103788305,37956.06188998854,True,164,44071.24045087447,59082.728728705595
164,2020-07-04,45106,158.7614103788305,37956.06188998854,True,165,45212.19785867557,59082.728728705595
165,2020-07-05,46178,158.7614103788305,37956.06188998854,True,166,46339.704990641905,59082.728728705595
166,2020-07-06,47735,158.7614103788305,37956.06188998854,True,167,47451.869103016215,59082.728728705595
167,2020-07-07,48997,158.7614103788305,37956.06188998854,True,168,48546.90675136604,59082.728728705595
168,2020-07-08,50207,158.7614103788305,37956.06188998854,True,169,49623.15377766886,59082.728728705595
