,Report_Date,Brazil_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
194,2020-08-03,2750318,177.2092467064251,2054885.2014021748,True,195,2804450.8146721027,3525008.116326144
195,2020-08-04,2801921,177.2092467064251,2054885.2014021748,True,196,2842436.4906796934,3525008.116326144
196,2020-08-05,2859073,177.2092467064251,2054885.2014021748,True,197,2879801.5653169635,3525008.116326144
197,2020-08-06,2912212,177.2092467064251,2054885.2014021748,True,198,2916527.4624085193,3525008.116326144
198,2020-08-07,2962442,177.2092467064251,2054885.2014021748,True,199,2952597.395814937,3525008.116326144
199,2020-08-08,3012412,177.2092467064251,2054885.2014021748,True,200,2987996.363199937,3525008.116326144
200,2020-08-09,3035422,177.2092467064251,2054885.2014021748,True,201,3022711.1310275737,3525008.116326144
201,2020-08-10,3057470,177.2092467064251,2054885.2014021748,True,202,3056730.211335082,3525008.116326144
202,2020-08-11,3109630,177.2092467064251,2054885.2014021748,True,203,3090043.8308720696,3525008.116326144
203,2020-08-12,3164785,177.2092467064251,2054885.2014021748,True,204,3122643.893231631,3525008.116326144
204,2020-08-13,3224876,177.2092467064251,2054885.2014021748,True,205,3154523.934624216,3525008.116326144
205,2020-08-14,3275520,177.2092467064251,2054885.2014021748,True,206,3185679.073960898,3525008.116326144
206,2020-08-15,3317096,177.2092467064251,2054885.2014021748,True,207,3216105.9579196274,3525008.116326144
207,2020-08-16,3340197,177.2092467064251,2054885.2014021748,True,208,3245802.701666807,3525008.116326144
208,2020-08-17,3343925,177.2092467064251,2054885.2014021748,True,209,3274768.8258977104,3525008.116326144
