,Report_Date,Morocco_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
205,2020-08-14,39241,303.62436286800727,306989.0026468918,True,206,39262.724642031164,461777.8142659025
206,2020-08-15,41017,303.62436286800727,306989.0026468918,True,207,40285.19165938428,461777.8142659025
207,2020-08-16,42489,303.62436286800727,306989.0026468918,True,208,41332.37048541268,461777.8142659025
208,2020-08-17,43558,303.62436286800727,306989.0026468918,True,209,42404.757806135814,461777.8142659025
209,2020-08-18,44803,303.62436286800727,306989.0026468918,True,210,43502.85500081229,461777.8142659025
210,2020-08-19,46313,303.62436286800727,306989.0026468918,True,211,44627.16788358627,461777.8142659025
211,2020-08-20,47638,303.62436286800727,306989.0026468918,True,212,45778.20642502921,461777.8142659025
212,2020-08-21,49247,303.62436286800727,306989.0026468918,True,213,46956.48445288047,461777.8142659025
213,2020-08-22,50812,303.62436286800727,306989.0026468918,True,214,48162.51933129327,461777.8142659025
214,2020-08-23,52349,303.62436286800727,306989.0026468918,True,215,49396.831617904005,461777.8142659025
215,2020-08-24,53252,303.62436286800727,306989.0026468918,True,216,50659.944698051826,461777.8142659025
216,2020-08-25,54528,303.62436286800727,306989.0026468918,True,217,51952.38439549273,461777.8142659025
217,2020-08-26,55864,303.62436286800727,306989.0026468918,True,218,53274.67855896872,461777.8142659025
218,2020-08-27,57085,303.62436286800727,306989.0026468918,True,219,54627.35662401679,461777.8142659025
219,2020-08-28,58489,303.62436286800727,306989.0026468918,True,220,56010.949149426604,461777.8142659025
220,2020-08-29,60056,303.62436286800727,306989.0026468918,True,221,57425.987327788105,461777.8142659025
221,2020-08-30,61399,303.62436286800727,306989.0026468918,True,222,58873.00246960339,461777.8142659025
222,2020-08-31,62590,303.62436286800727,306989.0026468918,True,223,60352.52546047735,461777.8142659025
223,2020-09-01,63781,303.62436286800727,306989.0026468918,True,224,61865.086190946735,461777.8142659025
224,2020-09-02,65453,303.62436286800727,306989.0026468918,True,225,63411.212958554206,461777.8142659025
225,2020-09-03,66855,303.62436286800727,306989.0026468918,True,226,64991.43184183234,461777.8142659025
226,2020-09-04,68605,303.62436286800727,306989.0026468918,True,227,66606.26604591873,461777.8142659025
227,2020-09-05,70160,303.62436286800727,306989.0026468918,True,228,68256.23521959315,461777.8142659025
228,2020-09-06,72394,303.62436286800727,306989.0026468918,True,229,69941.85474359579,461777.8142659025
229,2020-09-07,73780,303.62436286800727,306989.0026468918,True,230,71663.6349901673,461777.8142659025
230,2020-09-08,75721,303.62436286800727,306989.0026468918,True,231,73422.08055383083,461777.8142659025
231,2020-09-09,77878,303.62436286800727,306989.0026468918,True,232,75217.68945353133,461777.8142659025
232,2020-09-10,79767,303.62436286800727,306989.0026468918,True,233,77050.95230633873,461777.8142659025
233,2020-09-11,82197,303.62436286800727,306989.0026468918,True,234,78922.35147302944,461777.8142659025
234,2020-09-12,84435,303.62436286800727,306989.0026468918,True,235,80832.36017596498,461777.8142659025
235,2020-09-13,86686,303.62436286800727,306989.0026468918,True,236,82781.44158980652,461777.8142659025
236,2020-09-14,88203,303.62436286800727,306989.0026468918,True,237,84770.04790572157,461777.8142659025
237,2020-09-15,90324,303.62436286800727,306989.0026468918,True,238,86798.61936987098,461777.8142659025
238,2020-09-16,92016,303.62436286800727,306989.0026468918,True,239,88867.58329709439,461777.8142659025
239,2020-09-17,94504,303.62436286800727,306989.0026468918,True,240,90977.35306085457,461777.8142659025
240,2020-09-18,97264,303.62436286800727,306989.0026468918,True,241,93128.32706064526,461777.8142659025
241,2020-09-19,99816,303.62436286800727,306989.0026468918,True,242,95320.8876682155,461777.8142659025
242,2020-09-20,101743,303.62436286800727,306989.0026468918,True,243,97555.40015412135,461777.8142659025
