,Report_Date,Egypt_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
132,2020-06-02,27536,148.45192989316305,49880.91572685157,True,133,27606.090977395506,98535.7917661659
133,2020-06-03,28615,148.45192989316305,49880.91572685157,True,134,28864.689411088682,98535.7917661659
134,2020-06-04,29767,148.45192989316305,49880.91572685157,True,135,30156.687199171552,98535.7917661659
135,2020-06-05,31115,148.45192989316305,49880.91572685157,True,136,31480.836679545082,98535.7917661659
136,2020-06-06,32612,148.45192989316305,49880.91572685157,True,137,32835.70014181058,98535.7917661659
137,2020-06-07,34079,148.45192989316305,49880.91572685157,True,138,34219.65112655631,98535.7917661659
138,2020-06-08,35444,148.45192989316305,49880.91572685157,True,139,35630.877935836135,98535.7917661659
139,2020-06-09,36829,148.45192989316305,49880.91572685157,True,140,37067.38944002838,98535.7917661659
140,2020-06-10,38284,148.45192989316305,49880.91572685157,True,141,38527.023222960954,98535.7917661659
141,2020-06-11,39726,148.45192989316305,49880.91572685157,True,142,40007.45605942865,98535.7917661659
142,2020-06-12,41303,148.45192989316305,49880.91572685157,True,143,41506.21666832213,98535.7917661659
143,2020-06-13,42980,148.45192989316305,49880.91572685157,True,144,43020.70063207782,98535.7917661659
144,2020-06-14,44598,148.45192989316305,49880.91572685157,True,145,44548.18732078693,98535.7917661659
145,2020-06-15,46289,148.45192989316305,49880.91572685157,True,146,46085.85860891399,98535.7917661659
146,2020-06-16,47856,148.45192989316305,49880.91572685157,True,147,47630.81912605272,98535.7917661659
147,2020-06-17,49219,148.45192989316305,49880.91572685157,True,148,49180.11774228775,98535.7917661659
148,2020-06-18,50437,148.45192989316305,49880.91572685157,True,149,50730.76995517863,98535.7917661659
149,2020-06-19,52211,148.45192989316305,49880.91572685157,True,150,52279.780820512315,98535.7917661659
150,2020-06-20,53758,148.45192989316305,49880.91572685157,True,151,53824.16805382662,98535.7917661659
151,2020-06-21,55233,148.45192989316305,49880.91572685157,True,152,55360.98492492735,98535.7917661659
152,2020-06-22,56809,148.45192989316305,49880.91572685157,True,153,56887.342573414375,98535.7917661659
153,2020-06-23,58141,148.45192989316305,49880.91572685157,True,154,58400.43138934487,98535.7917661659
154,2020-06-24,59561,148.45192989316305,49880.91572685157,True,155,59897.541128918034,98535.7917661659
155,2020-06-25,61130,148.45192989316305,49880.91572685157,True,156,61376.07946938519,98535.7917661659
156,2020-06-26,62755,148.45192989316305,49880.91572685157,True,157,62833.58874886708,98535.7917661659
157,2020-06-27,63923,148.45192989316305,49880.91572685157,True,158,64267.7606837347,98535.7917661659
158,2020-06-28,65188,148.45192989316305,49880.91572685157,True,159,65676.4489068708,98535.7917661659
159,2020-06-29,66754,148.45192989316305,49880.91572685157,True,160,67057.67922259211,98535.7917661659
