,Report_Date,Ghana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
151,2020-06-21,14154,172.80341175162485,25005.901195799543,True,152,14733.555641642948,49973.9394225275
152,2020-06-22,14154,172.80341175162485,25005.901195799543,True,153,15173.48883549748,49973.9394225275
153,2020-06-23,14568,172.80341175162485,25005.901195799543,True,154,15620.741628528745,49973.9394225275
154,2020-06-24,15013,172.80341175162485,25005.901195799543,True,155,16075.094626683318,49973.9394225275
155,2020-06-25,15473,172.80341175162485,25005.901195799543,True,156,16536.308719308072,49973.9394225275
156,2020-06-26,15834,172.80341175162485,25005.901195799543,True,157,17004.12526148311,49973.9394225275
157,2020-06-27,16431,172.80341175162485,25005.901195799543,True,158,17478.266363453877,49973.9394225275
158,2020-06-28,16742,172.80341175162485,25005.901195799543,True,159,17958.435289555007,49973.9394225275
159,2020-06-29,17351,172.80341175162485,25005.901195799543,True,160,18444.316968066607,49973.9394225275
160,2020-06-30,17741,172.80341175162485,25005.901195799543,True,161,18935.578612425932,49973.9394225275
161,2020-07-01,18134,172.80341175162485,25005.901195799543,True,162,19431.870453144576,49973.9394225275
162,2020-07-02,18134,172.80341175162485,25005.901195799543,True,163,19932.826578668883,49973.9394225275
163,2020-07-03,19388,172.80341175162485,25005.901195799543,True,164,20438.065882283627,49973.9394225275
164,2020-07-04,19388,172.80341175162485,25005.901195799543,True,165,20947.19311101429,49973.9394225275
165,2020-07-05,20085,172.80341175162485,25005.901195799543,True,166,21459.80001134846,49973.9394225275
166,2020-07-06,21077,172.80341175162485,25005.901195799543,True,167,21975.466565490962,49973.9394225275
167,2020-07-07,21968,172.80341175162485,25005.901195799543,True,168,22493.7623108092,49973.9394225275
168,2020-07-08,22822,172.80341175162485,25005.901195799543,True,169,23014.24773413247,49973.9394225275
169,2020-07-09,23463,172.80341175162485,25005.901195799543,True,170,23536.475731660536,49973.9394225275
170,2020-07-10,23834,172.80341175162485,25005.901195799543,True,171,24059.993124428263,49973.9394225275
171,2020-07-11,24248,172.80341175162485,25005.901195799543,True,172,24584.342218580045,49973.9394225275
172,2020-07-12,24518,172.80341175162485,25005.901195799543,True,173,25109.062399143462,49973.9394225275
173,2020-07-13,24988,172.80341175162485,25005.901195799543,True,174,25633.691745566073,49973.9394225275
174,2020-07-14,24988,172.80341175162485,25005.901195799543,True,175,26157.76865700193,49973.9394225275
175,2020-07-15,25430,172.80341175162485,25005.901195799543,True,176,26680.833475209194,49973.9394225275
176,2020-07-16,26125,172.80341175162485,25005.901195799543,True,177,27202.43009295139,49973.9394225275
177,2020-07-17,26572,172.80341175162485,25005.901195799543,True,178,27722.10753597958,49973.9394225275
178,2020-07-18,27060,172.80341175162485,25005.901195799543,True,179,28239.42150700971,49973.9394225275
179,2020-07-19,27667,172.80341175162485,25005.901195799543,True,180,28753.935880590154,49973.9394225275
180,2020-07-20,28430,172.80341175162485,25005.901195799543,True,181,29265.224138371224,49973.9394225275
181,2020-07-21,28989,172.80341175162485,25005.901195799543,True,182,29772.870735028228,49973.9394225275
182,2020-07-22,29672,172.80341175162485,25005.901195799543,True,183,30276.472385939498,49973.9394225275
183,2020-07-23,29672,172.80341175162485,25005.901195799543,True,184,30775.63926866454,49973.9394225275
184,2020-07-24,31057,172.80341175162485,25005.901195799543,True,185,31269.996131287768,49973.9394225275
185,2020-07-25,31851,172.80341175162485,25005.901195799543,True,186,31759.183301772817,49973.9394225275
186,2020-07-26,32969,172.80341175162485,25005.901195799543,True,187,32242.857593591627,49973.9394225275
187,2020-07-27,33624,172.80341175162485,25005.901195799543,True,188,32720.693104033508,49973.9394225275
188,2020-07-28,34406,172.80341175162485,25005.901195799543,True,189,33192.381902743386,49973.9394225275
189,2020-07-29,35142,172.80341175162485,25005.901195799543,True,190,33657.634609168235,49973.9394225275
190,2020-07-30,35142,172.80341175162485,25005.901195799543,True,191,34116.180858689106,49973.9394225275
191,2020-07-31,35501,172.80341175162485,25005.901195799543,True,192,34567.76965826921,49973.9394225275
192,2020-08-01,37014,172.80341175162485,25005.901195799543,True,193,35012.16963344151,49973.9394225275
193,2020-08-02,37014,172.80341175162485,25005.901195799543,True,194,35449.16916938168,49973.9394225275
194,2020-08-03,37812,172.80341175162485,25005.901195799543,True,195,35878.57644965372,49973.9394225275
195,2020-08-04,37812,172.80341175162485,25005.901195799543,True,196,36300.219396969114,49973.9394225275
196,2020-08-05,39075,172.80341175162485,25005.901195799543,True,197,36713.94552095978,49973.9394225275
197,2020-08-06,39642,172.80341175162485,25005.901195799543,True,198,37119.62167852816,49973.9394225275
198,2020-08-07,40097,172.80341175162485,25005.901195799543,True,199,37517.13375280118,49973.9394225275
199,2020-08-08,40533,172.80341175162485,25005.901195799543,True,200,37906.38625708081,49973.9394225275
200,2020-08-09,41003,172.80341175162485,25005.901195799543,True,201,38287.30187045318,49973.9394225275
201,2020-08-10,41212,172.80341175162485,25005.901195799543,True,202,38659.820911894516,49973.9394225275
202,2020-08-11,41404,172.80341175162485,25005.901195799543,True,203,39023.90075980075,49973.9394225275
203,2020-08-12,41572,172.80341175162485,25005.901195799543,True,204,39379.515223873335,49973.9394225275
204,2020-08-13,41725,172.80341175162485,25005.901195799543,True,205,39726.653876224496,49973.9394225275
205,2020-08-14,41847,172.80341175162485,25005.901195799543,True,206,40065.32134842716,49973.9394225275
206,2020-08-15,42210,172.80341175162485,25005.901195799543,True,207,40395.53660103596,49973.9394225275
207,2020-08-16,42532,172.80341175162485,25005.901195799543,True,208,40717.3321718548,49973.9394225275
208,2020-08-17,42653,172.80341175162485,25005.901195799543,True,209,41030.75340893058,49973.9394225275
209,2020-08-18,42993,172.80341175162485,25005.901195799543,True,210,41335.85769391982,49973.9394225275
