,Report_Date,Germany_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
166,2020-07-06,198064,721.7841886168698,346527454.89835346,False,167,99439.93141482721,693054909.7967073
167,2020-07-07,198343,721.7841886168698,346527454.89835346,False,168,101038.5470962141,693054909.7967073
168,2020-07-08,198699,721.7841886168698,346527454.89835346,False,169,102662.85862681225,693054909.7967073
169,2020-07-09,199001,721.7841886168698,346527454.89835346,False,170,104313.27891348957,693054909.7967073
170,2020-07-10,199332,721.7841886168698,346527454.89835346,False,171,105990.2274941192,693054909.7967073
171,2020-07-11,199709,721.7841886168698,346527454.89835346,False,172,107694.13064393932,693054909.7967073
172,2020-07-12,199919,721.7841886168698,346527454.89835346,False,173,109425.4214836147,693054909.7967073
173,2020-07-13,200180,721.7841886168698,346527454.89835346,False,174,111184.54008902734,693054909.7967073
174,2020-07-14,200456,721.7841886168698,346527454.89835346,False,175,112971.93360282325,693054909.7967073
175,2020-07-15,200890,721.7841886168698,346527454.89835346,False,176,114788.05634774381,693054909.7967073
176,2020-07-16,201450,721.7841886168698,346527454.89835346,False,177,116633.3699417694,693054909.7967073
177,2020-07-17,202045,721.7841886168698,346527454.89835346,False,178,118508.34341510541,693054909.7967073
178,2020-07-18,202426,721.7841886168698,346527454.89835346,False,179,120413.45332903853,693054909.7967073
179,2020-07-19,202735,721.7841886168698,346527454.89835346,False,180,122349.18389669356,693054909.7967073
180,2020-07-20,203325,721.7841886168698,346527454.89835346,False,181,124316.02710572173,693054909.7967073
181,2020-07-21,203717,721.7841886168698,346527454.89835346,False,182,126314.48284294987,693054909.7967073
182,2020-07-22,204276,721.7841886168698,346527454.89835346,False,183,128345.05902102291,693054909.7967073
183,2020-07-23,204881,721.7841886168698,346527454.89835346,False,184,130408.27170707006,693054909.7967073
184,2020-07-24,205623,721.7841886168698,346527454.89835346,False,185,132504.64525342846,693054909.7967073
185,2020-07-25,206278,721.7841886168698,346527454.89835346,False,186,134634.71243045529,693054909.7967073
186,2020-07-26,206667,721.7841886168698,346527454.89835346,False,187,136799.01456146277,693054909.7967073
187,2020-07-27,207112,721.7841886168698,346527454.89835346,False,188,138998.10165980886,693054909.7967073
188,2020-07-28,207707,721.7841886168698,346527454.89835346,False,189,141232.53256817904,693054909.7967073
189,2020-07-29,208546,721.7841886168698,346527454.89835346,False,190,143502.87510009235,693054909.7967073
190,2020-07-30,209535,721.7841886168698,346527454.89835346,False,191,145809.70618366855,693054909.7967073
191,2020-07-31,210399,721.7841886168698,346527454.89835346,False,192,148153.61200769112,693054909.7967073
192,2020-08-01,211005,721.7841886168698,346527454.89835346,False,193,150535.18817000338,693054909.7967073
193,2020-08-02,211220,721.7841886168698,346527454.89835346,False,194,152955.03982827425,693054909.7967073
194,2020-08-03,212111,721.7841886168698,346527454.89835346,False,195,155413.7818531708,693054909.7967073
195,2020-08-04,212828,721.7841886168698,346527454.89835346,False,196,157912.03898397737,693054909.7967073
196,2020-08-05,214113,721.7841886168698,346527454.89835346,False,197,160450.4459866978,693054909.7967073
197,2020-08-06,215039,721.7841886168698,346527454.89835346,False,198,163029.64781468184,693054909.7967073
198,2020-08-07,216196,721.7841886168698,346527454.89835346,False,199,165650.29977181504,693054909.7967073
199,2020-08-08,216903,721.7841886168698,346527454.89835346,False,200,168313.06767831292,693054909.7967073
200,2020-08-09,217288,721.7841886168698,346527454.89835346,False,201,171018.62803916028,693054909.7967073
201,2020-08-10,218508,721.7841886168698,346527454.89835346,False,202,173767.66821523808,693054909.7967073
202,2020-08-11,219540,721.7841886168698,346527454.89835346,False,203,176560.88659717972,693054909.7967073
203,2020-08-12,220859,721.7841886168698,346527454.89835346,False,204,179398.9927820011,693054909.7967073
204,2020-08-13,222281,721.7841886168698,346527454.89835346,False,205,182282.70775254667,693054909.7967073
205,2020-08-14,223791,721.7841886168698,346527454.89835346,False,206,185212.76405979763,693054909.7967073
206,2020-08-15,224488,721.7841886168698,346527454.89835346,False,207,188189.9060080859,693054909.7967073
207,2020-08-16,225007,721.7841886168698,346527454.89835346,False,208,191214.88984326203,693054909.7967073
208,2020-08-17,226700,721.7841886168698,346527454.89835346,False,209,194288.48394386098,693054909.7967073
209,2020-08-18,228120,721.7841886168698,346527454.89835346,False,210,197411.46901531512,693054909.7967073
210,2020-08-19,229706,721.7841886168698,346527454.89835346,False,211,200584.6382872622,693054909.7967073
211,2020-08-20,231292,721.7841886168698,346527454.89835346,False,212,203808.7977139967,693054909.7967073
212,2020-08-21,233029,721.7841886168698,346527454.89835346,False,213,207084.76617811396,693054909.7967073
213,2020-08-22,233861,721.7841886168698,346527454.89835346,False,214,210413.3756973985,693054909.7967073
214,2020-08-23,234494,721.7841886168698,346527454.89835346,False,215,213795.47163500678,693054909.7967073
