,Report_Date,Seychelles_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
74,2020-04-05,10,60.23072227095856,5.516566992049925,True,75,10.414303450698746,11.023362846767972
75,2020-04-06,11,60.23072227095856,5.516566992049925,True,76,10.516935637951159,11.023362846767972
76,2020-04-07,11,60.23072227095856,5.516566992049925,True,77,10.603249034082422,11.023362846767972
77,2020-04-08,11,60.23072227095856,5.516566992049925,True,78,10.675620606198965,11.023362846767972
78,2020-04-09,11,60.23072227095856,5.516566992049925,True,79,10.736149604468544,11.023362846767972
79,2020-04-10,11,60.23072227095856,5.516566992049925,True,80,10.786667299375223,11.023362846767972
80,2020-04-11,11,60.23072227095856,5.516566992049925,True,81,10.828755407271073,11.023362846767972
81,2020-04-12,11,60.23072227095856,5.516566992049925,True,82,10.863769149783142,11.023362846767972
82,2020-04-13,11,60.23072227095856,5.516566992049925,True,83,10.892862107924234,11.023362846767972
83,2020-04-14,11,60.23072227095856,5.516566992049925,True,84,10.917010987610054,11.023362846767972
84,2020-04-15,11,60.23072227095856,5.516566992049925,True,85,10.937039128342558,11.023362846767972
85,2020-04-16,11,60.23072227095856,5.516566992049925,True,86,10.95363809917439,11.023362846767972
86,2020-04-17,11,60.23072227095856,5.516566992049925,True,87,10.967387078351507,11.023362846767972
